neuron.clusters,EffectType,term,Estimate,Std.error,lwr,upr,t.val
2,AIE,Sex:Status,0.12347441806456584,0.014815958243475444,0.09443513990735397,0.09443513990735397,NA
2,HypotheticalInt,Sex:Status,0.1458630275946495,0.014815958243475445,0.13104706935117405,0.16067898583812495,8.333879998544184
1,AIE,Sex:Status,0.08834973657821066,0.015880771014802526,0.05722342538919771,0.05722342538919771,NA
1,HypotheticalInt,Sex:Status,0.16258957490833176,0.015880771014802526,0.14670880389352922,0.1784703459231343,5.563315313586446
6,AIE,Sex:Status,-0.012414516965987256,0.00889432833202464,-0.02984740049675555,-0.02984740049675555,NA
6,HypotheticalInt,Sex:Status,0.04578735694384917,0.00889432833202464,0.03689302861182453,0.054681685275873804,-1.3957790293492915
8,AIE,Sex:Status,-0.07915407487036395,0.007283661010126685,-0.09343005045021226,-0.09343005045021226,NA
8,HypotheticalInt,Sex:Status,0.02526897560689144,0.007283661010126686,0.01798531459676475,0.03255263661701813,-10.867347445235813
7,AIE,Sex:Status,-0.00787816551787477,0.00926377979325258,-0.026035173912649826,-0.026035173912649826,NA
7,HypotheticalInt,Sex:Status,0.04470430054161,0.00926377979325258,0.03544052074835742,0.053968080334862584,-0.850426682595905
0,AIE,Sex:Status,-0.017150489346656528,0.018751408952630885,-0.05390325089381306,-0.05390325089381306,NA
0,HypotheticalInt,Sex:Status,0.2383204612761712,0.018751408952630885,0.21956905232354032,0.25707187022880207,-0.9146240365180803
9,AIE,Sex:Status,0.010167498394338267,0.007529631422999524,-0.004590579194740799,-0.004590579194740799,NA
9,HypotheticalInt,Sex:Status,0.03308634069086308,0.007529631422999523,0.025556709267863558,0.0406159721138626,1.3503314867818481
3,AIE,Sex:Status,-0.053178931377911604,0.010965868530729653,-0.07467203369814172,-0.07467203369814172,NA
3,HypotheticalInt,Sex:Status,0.07350747140809806,0.010965868530729655,0.0625416028773684,0.08447333993882772,-4.849495617140428
5,AIE,Sex:Status,-0.012125344191746934,0.008931553744519021,-0.029631189531004215,-0.029631189531004215,NA
5,HypotheticalInt,Sex:Status,0.04750189006747747,0.008931553744519021,0.03857033632295845,0.0564334438119965,-1.3575850897373627
10,AIE,Sex:Status,-0.0011778757457561878,0.007533505519599288,-0.015943546564170793,-0.015943546564170793,NA
10,HypotheticalInt,Sex:Status,0.0304960240041093,0.007533505519599288,0.02296251848451001,0.03802952952370859,-0.15635161382596818
4,AIE,Sex:Status,-0.0050056518954116475,0.01210787441503795,-0.02873708574888603,-0.02873708574888603,NA
4,HypotheticalInt,Sex:Status,0.08566535656212836,0.012107874415037951,0.0735574821470904,0.09777323097716631,-0.41342119383024323
11,AIE,Sex:Status,-0.0074563575518820195,0.0067234622054542755,-0.0206343434745724,-0.0206343434745724,NA
11,HypotheticalInt,Sex:Status,0.0231336736006287,0.0067234622054542755,0.016410211395174425,0.029857135806082975,-1.1090056467980436
12,AIE,Sex:Status,-0.01280768086685387,0.0027010912349807307,-0.0181018196874161,-0.0181018196874161,NA
12,HypotheticalInt,Sex:Status,0.0020602990708027437,0.002701091234980734,-6.407921641779905e-4,0.004761390305783477,-4.74166910802079
13,AIE,Sex:Status,-0.013642564802977857,0.0021423141468802642,-0.017841500530863176,-0.017841500530863176,NA
13,HypotheticalInt,Sex:Status,2.0271273388720714e-9,0.002142314114258609,-0.00214231208713127,0.0021423161413859477,-6.368144014071971
